Signature	Stability	feature	Weight	Max. sim. COSMIC	nFact	K	Sigpair_i
Run 035 Factor 3	0.8366	H3K36me3_encode	-0.0675192161942629	SBS18: 0.83	3	6	3
Run 049 Factor 3	0.7682	H3K36me3_encode	-0.04410386280676751	SBS18: 0.83	3	6	3
Run 037 Factor 2	0.4391	RepliSeq	-0.04923348334403183	SBS18: 0.71	3	7	7
Run 096 Factor 2	0.2794	RepliSeq	-0.05094055560066143	SBS18: 0.69	3	7	7
Run 025 Factor 3	0.975	BPDEdG	-0.05129947857054765	SBS18: 0.7	4	5	4
Run 073 Factor 4	0.9818	BPDEdG	-0.014423507083570822	SBS18: 0.8	4	5	4
Run 025 Factor 3	0.975	BPDEdG	-0.05129947857054765	SBS18: 0.7	4	6	8
Run 073 Factor 4	0.9818	BPDEdG	-0.014423507083570822	SBS18: 0.8	4	6	8
Run 008 Factor 4	0.9313	H3K36me3_encode	-0.04028226384255091	SBS18: 0.83	4	7	1
Run 021 Factor 3	0.9083	H3K36me3_encode	-0.06480937714970991	SBS18: 0.82	4	7	1
Run 001 Factor 3	0.9877	H3K36me3_roadmap	-0.054753811554254815	SBS18: 0.81	5	4	1
Run 030 Factor 4	0.967	H3K36me3_roadmap	-0.05170968112144693	SBS18: 0.65	5	4	1
Run 037 Factor 1	0.8928	RepliSeq	-0.03498965898704864	SBS18: 0.64	6	6	5
Run 084 Factor 3	0.7705	RepliSeq	-0.014174182894291442	SBS18: 0.86	6	6	5
Run 020 Factor 3	0.7879	CHD7	-0.03160163081338399	SBS18: 0.86	8	11	15
Run 057 Factor 3	0.3898	CHD7	-0.017352978808384687	SBS18: 0.84	8	11	15
Run 020 Factor 3	0.7879	CHD7	-0.03160163081338399	SBS18: 0.86	8	12	16
Run 057 Factor 3	0.3898	CHD7	-0.017352978808384687	SBS18: 0.84	8	12	16
Run 041 Factor 8	0.3365	H3K36me3_roadmap	-0.033324618716071744	SBS18: 0.64	9	5	1
Run 059 Factor 5	0.6842	H3K36me3_roadmap	-0.03325038516113619	SBS18: 0.82	9	5	1
Run 032 Factor 5	0.2287	H3K36me3_roadmap	-0.034018985571626026	SBS18: 0.7	10	3	1
Run 087 Factor 3	0.5027	H3K36me3_roadmap	-0.035913843328787505	SBS18: 0.77	10	3	1
Run 027 Factor 9	0.4629	RMDflat	-0.03235377379583722	SBS18: 0.81	11	8	11
Run 081 Factor 1	0.4462	RMDflat	0.01476777757540352	SBS18: 0.78	11	8	11
